age,income,employment_length,loan_amount,interest_rate,home_ownership,loan_intent,historical_default,loan_status
56,158262,23,43460,18.37328796027365,Mortgage,Business,1,1
69,58333,7,23796,3.3439127896552283,Other,Medical,0,0
46,141929,41,32746,14.886211738730378,Rent,Education,1,0
32,109571,44,87785,3.947551570581868,Rent,Home,1,0
60,140263,7,1015,22.78615272400566,Other,Medical,1,0
25,152661,3,50757,22.863700641143048,Other,Home,0,0
78,45235,26,26957,18.059358765701994,Own,Education,0,0
38,20159,35,82541,23.30234519310735,Other,Business,0,0
56,163217,4,22292,20.663419699514883,Rent,Medical,1,1
75,182993,32,32876,21.056387246322135,Rent,Medical,1,1
36,124859,48,61727,15.103280563108465,Mortgage,Medical,1,0
40,167309,33,48046,9.039361558972045,Own,Personal,0,0
28,127507,29,15817,7.009379647677696,Mortgage,Education,0,0
28,159316,7,92006,9.52560050689537,Own,Personal,0,0
41,34743,38,10759,16.455394892048428,Mortgage,Medical,0,0
70,66101,46,49432,5.971100324145175,Own,Medical,0,0
53,141534,25,7412,7.948725442658397,Other,Home,0,0
57,104227,36,58757,12.765399844295683,Rent,Personal,1,0
41,91126,33,21504,7.360152266066158,Other,Business,0,0
20,76071,6,9507,15.538804403469417,Own,Education,1,0
39,94763,39,22050,23.233048654495587,Own,Business,1,0
70,163309,27,5820,19.20605541117191,Mortgage,Business,0,0
19,166721,38,8835,17.327812125424998,Own,Education,0,1
41,188785,38,94167,15.402593947626912,Other,Medical,0,0
61,196481,27,14587,13.222801912912493,Own,Home,0,0
47,199838,13,58732,6.290968771597173,Own,Medical,0,0
55,66154,49,52921,22.578340474817907,Mortgage,Medical,0,0
19,27016,37,46499,7.716328046295235,Own,Personal,1,0
77,199760,3,7840,4.100104184297697,Mortgage,Business,0,0
38,109678,41,66077,19.25034912225999,Rent,Business,0,0
50,132056,17,32440,6.039157289616827,Mortgage,Business,1,0
29,74238,43,36183,10.553607989447048,Own,Home,0,0
75,78608,47,97172,2.6505533506925336,Rent,Home,0,0
39,109081,24,3389,5.152562678430305,Own,Home,0,0
78,182969,6,56076,5.983683507477978,Mortgage,Education,0,0
61,70961,37,67299,3.251432938254093,Other,Home,0,0
42,195829,27,90461,17.103110002325437,Rent,Personal,1,1
66,46917,4,93085,21.251179303471698,Other,Personal,0,0
44,173808,2,40023,10.586254346416641,Other,Medical,0,0
76,47990,43,51029,22.115258964518617,Rent,Medical,0,0
59,82551,30,40941,6.90697121488291,Other,Medical,0,0
45,173512,46,89993,9.483979741908508,Other,Medical,1,1
77,186277,41,54950,5.466950839716873,Other,Personal,1,1
33,100811,19,87959,16.27286149463697,Other,Medical,0,0
32,75103,18,77054,11.657000590017057,Rent,Personal,1,0
79,192699,47,66363,16.10551697736367,Own,Home,0,0
